TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Freeway Golf Course Warehouse C,N/A,1858 Sicklerville Rd,GLOUCESTER TOWNSHIP,'080812422',CAMDEN,Planning Schematics,N/A,N/A,N/A,N/A,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",54462692,https://apps.construction.com/projects/202200757531,532000,Warehouse,N/A,1,9/13/2022,"1858 Sicklerville Rd, GLOUCESTER TOWNSHIP, CAMDEN, NJ '080812422'",39.7546344,-75.0277208
Freeway Golf Course Warehouse A,N/A,1858 Sicklerville Rd,GLOUCESTER TOWNSHIP,'080812422',CAMDEN,Planning Schematics,N/A,N/A,N/A,N/A,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",49999999,https://apps.construction.com/projects/202200757519,400000,Warehouse,N/A,1,9/13/2022,"1858 Sicklerville Rd, GLOUCESTER TOWNSHIP, CAMDEN, NJ '080812422'",39.7546344,-75.0277208
Freeway Golf Course Warehouse B,N/A,1858 Sicklerville Rd,GLOUCESTER TOWNSHIP,'080812422',CAMDEN,Planning Schematics,N/A,N/A,N/A,N/A,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",49999999,https://apps.construction.com/projects/202200757528,250000,Warehouse,N/A,1,9/13/2022,"1858 Sicklerville Rd, GLOUCESTER TOWNSHIP, CAMDEN, NJ '080812422'",39.7546344,-75.0277208
Freeway Golf Course Warehouse D,N/A,1858 Sicklerville Rd,GLOUCESTER TOWNSHIP,'080812422',CAMDEN,Planning Schematics,N/A,N/A,N/A,N/A,Marathon Engineering & Environmental Services,N/A,"David J Fleming, P.E.",49999999,https://apps.construction.com/projects/202200757533,292500,Warehouse,N/A,1,9/13/2022,"1858 Sicklerville Rd, GLOUCESTER TOWNSHIP, CAMDEN, NJ '080812422'",39.7546344,-75.0277208
Warehouse,N/A,110 Woodcrest Rd,CHERRY HILL,'08003',CAMDEN,Construction Documents,Michael Landsburg,2 COOPER ST,NFI Real Estate,N/A,Marathon Engineering & Environmental Services,N/A,N/A,24999999,https://apps.construction.com/projects/202100797281,162000,Warehouse,N/A,1,10/7/2021,"110 Woodcrest Rd, CHERRY HILL, CAMDEN, NJ '08003'",39.8746633,-75.01091339999999
Self Storage Facilty,N/A,214 High St E,GLASSBORO,'080282526',GLOUCESTER,Pre-Design,N/A,3996 COUNTY ROAD 516,Vision 214 High QOZB LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300149014,115572,Warehouse,N/A,1,4/19/2023,"214 High St E, GLASSBORO, GLOUCESTER, NJ '080282526'",39.7031885,-75.1149018
Flex Warehouse/Distribution Building,N/A,10 Normandy Dr,PISCATAWAY,'088543658',MIDDLESEX,Pre-Design,N/A,1251 AVENUE OF THE AMERICAS,Rockefeller Group Development,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300291101,241000,Warehouse,N/A,1,7/28/2023,"10 Normandy Dr, PISCATAWAY, MIDDLESEX, NJ '088543658'",40.5579741,-74.5049025
IDI Logistics Warehouse/Distribution Building,N/A,370 Scotch Rd,TRENTON,'086281301',MERCER,Pre-Design,Justin Burns,1 TOWER CENTER BLVD STE 1205,IDI Logistics,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202200719279,N/A,Warehouse,N/A,1,8/10/2022,"370 Scotch Rd, TRENTON, MERCER, NJ '086281301'",40.2866883,-74.8043775
IDI Logistics Warehouse/Distribution Building,N/A,1551 S Washington Ave,PISCATAWAY,'088546700',MIDDLESEX,Pre-Design,Justin Burns,1 TOWER CENTER BLVD STE 1205,IDI Logistics,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300289621,N/A,Warehouse,N/A,1,7/27/2023,"1551 S Washington Ave, PISCATAWAY, MIDDLESEX, NJ '088546700'",40.55713069999999,-74.4450023
Warehouse,"207500 s.f. of warehouse and 10000 s.f. of office space with associated; parking, trailer parking, loading and stormwater management facilities",US Highway 9 South (Across from Estelle Lane),HOWELL TOWNSHIP,'07731',MONMOUTH,Planning Schematics,N/A,120 ARBUTUS DR,Route 9 Howell LLC,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300287783,217500,Office Warehouse,N/A,1,7/26/2023,"US Highway 9 South (Across from Estelle Lane), HOWELL TOWNSHIP, MONMOUTH, NJ '07731'",40.1606217,-74.232919
Chevron Texaco Inc Bayonne Pointe Redev Master Report,"Potential redevelopment plan would permit the construction of hotels up; to 150 rooms, one marina, and an indoor or outdoor arena of no more; than 250 seats. Movie production facilities could be built on the; site, as well as facilities for food preparation and distribution,; office space, storage, and such. Buildings can be no taller than 15; stories and must not take up more than 80 percent of a given lot. The; plan would provide for parking as well environmental features such as; green roofs and solar panels on 70 acre site",Avenue A & W First St,BAYONNE,'07002',HUDSON,Design Development,N/A,W 1ST ST,Togus Urban Renewal LLC,N/A,N/A,N/A,N/A,10000000,https://apps.construction.com/projects/202000631586,N/A,Apartments/Condominiums 1-3 Stories Apartments/Condominiums 4+ Stories Office Food/Beverage Service Retail (Other) Shopping Center/Strip Mall Warehouse Manufacturing Building,N/A,N/A,6/4/2020,"Avenue A & W First St, BAYONNE, HUDSON, NJ '07002'",40.6460114,-74.1345263
Warehouse,N/A,771 US-206 BYP,HILLSBOROUGH TOWNSHIP,'08844',SOMERSET,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300278832,171113,Warehouse,N/A,2,7/19/2023,"771 US-206 BYP, HILLSBOROUGH TOWNSHIP, SOMERSET, NJ '08844'",40.4922619,-74.6381359
Bridge Point West Windsor Warehouse/Distrb Bldg E-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,132000000,https://apps.construction.com/projects/202200658018,1185617,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point Mixed-Use Development Master Report,"A two-phased development to construct seven warehouse buildings, with a; total footprint of 5,563,117 +/- square feet. Phase I involves; developing three warehouse buildings, consisting of 3,010,099 +/-; square feet of warehouse space, a subdivision, and construction of a; new road from the intersection of Quakerbridge Road and Avalon Way; through the intersection of Route 1 and Nassau Park Boulevard. Phase; II involves developing four warehouse buildings, consisting of; 2,553,018+/- square feet of warehouse space. The property is located; at the corner of US Route 1, Quakerbridge Road, and Clarksville Road,; additional development to include retail, office, hotel and other; commercial uses",4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Design Development,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,49999999,https://apps.construction.com/projects/202200490236,N/A,Office Food/Beverage Service Retail (Other) Regional Shopping Mall Warehouse Freight Terminal Hotel/Motel,N/A,N/A,2/8/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point West Windsor Warehouse/Distrb Bldg C-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,114000000,https://apps.construction.com/projects/202200658019,1022715,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Cranbury Self Storage,"Building 1 - (3) story building - 96,900 SF - Building 2 - (1) story; building - 9800 SF",116 S Main St,CRANBURY,'08512',MIDDLESEX,Planning Schematics,Ernie Feist,481 SPOTSWOOD ENGLISHTOWN RD,"J. Gatarz & Sons, Inc.",N/A,"Amertech Engineering, Inc.",N/A,N/A,14999999,https://apps.construction.com/projects/202200618477,106700,Warehouse,N/A,2,5/12/2022,"116 S Main St, CRANBURY, MIDDLESEX, NJ '08512'",40.2892409,-74.51912100000001
Warehouse/Distribution Building 2,N/A,1812 River Rd,BURLINGTON,'080162132',BURLINGTON,Planning Schematics,N/A,427 BLOOMFIELD AVE FL 4,Crow Holdings Industrial,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202100493232,272288,Warehouse,N/A,1,2/11/2021,"1812 River Rd, BURLINGTON, BURLINGTON, NJ '080162132'",40.103693,-74.829346
Warehouse/Distribution Building 1,N/A,1804 River Rd,BURLINGTON,'08016',BURLINGTON,Planning Schematics,N/A,427 BLOOMFIELD AVE FL 4,Crow Holdings Industrial,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202100493218,294176,Warehouse,N/A,1,2/11/2021,"1804 River Rd, BURLINGTON, BURLINGTON, NJ '08016'",40.1059812,-74.8314695
Warehouse,27 Bays - site improvements - lighting,800 Montrose Ave,SOUTH PLAINFIELD,'070801804',MIDDLESEX,Planning Schematics,Blake Roell,120 S CENTRAL AVE STE 500,Sansone Group,N/A,Dynamic Engineering Consultants LLC,N/A,N/A,14999999,https://apps.construction.com/projects/202200460790,112350,Warehouse,N/A,1,1/13/2022,"800 Montrose Ave, SOUTH PLAINFIELD, MIDDLESEX, NJ '070801804'",40.5671595,-74.428851
Flex Warehouse 1,"PROPOSED FLEX SPACE BUILDING #1239,250 SF (WAREHOUSE) 12,750 SF; (OFFICE) 252,000 SF (TOTAL GFA)26 LOADING DOCKS52 TRAILER STALLS 99; CAR STALLS",Hightstown-Cranbury Station Rd & Station Rd,CRANBURY,'08512',MIDDLESEX,Planning Schematics,Vincent Visceglia,RARITAN PLAZA I,Summit Associates Inc,N/A,Hammer Land Engineering,N/A,N/A,49999999,https://apps.construction.com/projects/202200537836,252000,Warehouse,N/A,1,3/15/2022,"Hightstown-Cranbury Station Rd & Station Rd, CRANBURY, MIDDLESEX, NJ '08512'",40.3037102,-74.49095729999999
Bridge Point West Windsor Warehouse/Distrb Bldg A-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,37000000,https://apps.construction.com/projects/202200658024,333538,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point West Windsor Warehouse/Distrb Bldg B2-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,77000000,https://apps.construction.com/projects/202200658023,N/A,Warehouse Freight Terminal,N/A,N/A,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point West Windsor Warehouse/Distrb Bldg B-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,89000000,https://apps.construction.com/projects/202200658020,800328,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point West Windsor Warehouse/Distrb Bldg D-1 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,91000000,https://apps.construction.com/projects/202200658021,813055,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
Bridge Point West Windsor Warehouse/Distrb Bldg B2-2 Phase,N/A,4201 Quakerbridge Rd,PRINCETON,'08540',MERCER,Planning Schematics,Robert Gelbard,90 WOODBRIDGE CENTER DR,Atlantic Realty Development,N/A,"Langan Engineering & Envir. Svcs., Inc.",N/A,Bryan M Waisnor,79000000,https://apps.construction.com/projects/202200658022,709483,Warehouse Freight Terminal,N/A,1,6/15/2022,"4201 Quakerbridge Rd, PRINCETON, MERCER, NJ '08540'",40.2938657,-74.6744137
East Brunswick Self Storage Facility,"approx 134,139 gross sf -- 94,076 net rentable sf",710 Old Bridge Turnpike,EAST BRUNSWICK,'088163860',MIDDLESEX,Planning Schematics,N/A,N/A,N/A,N/A,Stonefield Engineering & Design LLC,N/A,Joshua H. Kline,14999999,https://apps.construction.com/projects/202100510671,134139,Warehouse,N/A,1,2/25/2021,"710 Old Bridge Turnpike, EAST BRUNSWICK, MIDDLESEX, NJ '088163860'",40.4631371,-74.4030408
Howell 3 Warehouse A,"Warehouse Building A totals 325,737 s.f. in size. With 305,737 s.f. of; warehouse space and 20,000 s.f. of office space and 55 loading bays, 2; drive-in bays, 161 vehicle parking spaces and 68 tractor trailer; parking spaces and an optional guard shack at the north side of the; truck court",Howell Rd,HOWELL TOWNSHIP,'07728',MONMOUTH,Planning Schematics,Jeromie Lange,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,49999999,https://apps.construction.com/projects/202100763588,325737,Warehouse,N/A,1,9/9/2021,"Howell Rd, HOWELL TOWNSHIP, MONMOUTH, NJ '07728'",40.2272823,-74.2375039
Howell 3 Warehouse B,"Warehouse Building B totals 98,828 s.f. in size consisting of 89,828; s.f. warehouse space and 9,000 s.f. of office space, 28 loading bays,; 2 drive in bays and 94 vehicle parking spaces, but no additional; tractor trailer parking. Additional site improvement consist of; lighting, landscaping, aboveground and subsurface storm water; management facilities, an irrigation pump house, sanitary sewer pump; station and optional fire water tank.",Howell Rd,HOWELL TOWNSHIP,'07728',MONMOUTH,Planning Schematics,Jeromie Lange,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202100764824,98828,Warehouse,N/A,1,9/9/2021,"Howell Rd, HOWELL TOWNSHIP, MONMOUTH, NJ '07728'",40.2272823,-74.2375039
Warehouse,N/A,Main St & Scott Ave,SAYREVILLE,'08879',MIDDLESEX,Planning Schematics,N/A,811 N CATALINA AVE STE 1306,InSite Property Group,N/A,Dynamic Engineering Consultants LLC,N/A,John A. Palus,14999999,https://apps.construction.com/projects/202200650404,117113,Warehouse,N/A,1,6/8/2022,"Main St & Scott Ave, SAYREVILLE, MIDDLESEX, NJ '08879'",40.4939274,-74.2935784
Whitesville Crossing Industrial Park,two million square feet of warehouses in 9 buildings,Whitesville Rd & S Hope Chapel Rd,JACKSON TOWNSHIP,'08527',OCEAN,Pre-Design,N/A,577 S HOPE CHAPEL RD,Bil-Jim Construction Co Inc II,N/A,N/A,N/A,N/A,233796757,https://apps.construction.com/projects/202200831590,2000000,Warehouse,N/A,9,11/16/2022,"Whitesville Rd & S Hope Chapel Rd, JACKSON TOWNSHIP, OCEAN, NJ '08527'",40.0683918,-74.2717638
Warehouse,N/A,Mink Ln & Sicklerville Rd,MONROE,'08094',GLOUCESTER,Pre-Design,N/A,1535 CHESTNUT ST STE 200,Brahin Properties Inc,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202200829734,236800,Warehouse,N/A,1,11/15/2022,"Mink Ln & Sicklerville Rd, MONROE, GLOUCESTER, NJ '08094'",39.6987264,-74.98586209999999
Culinary Depot - New Showroom/Warehouse/Office Building,showroom - warehouse - 2nd and 3rd floor offices,500 Oberlin Ave S,LAKEWOOD,'087016905',OCEAN,Planning Schematics,N/A,2 MELNICK DR,Chefs Depot Inc D/B/A Culinary Depot,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300246596,50000,Office Retail (Other) Warehouse,N/A,1,6/22/2023,"500 Oberlin Ave S, LAKEWOOD, OCEAN, NJ '087016905'",40.0687179,-74.1882263
Liberty Commerce Center,"Construction of a 404,427 square foot warehouse building containing; approximately 384,206 square feet of warehouse space and 20,221 square; feet of ancillary office space.",84 Harbor Dr,JERSEY CITY,'07305',HUDSON,Planning Schematics,Parth Patel,3 WORLD FINANCIAL CTR,Brookfield Properties,N/A,Bohler Engineering,Phillips Preiss Grygiel Leheny Hughes LLC,James Thaon,49999999,https://apps.construction.com/projects/202300054243,404427,Office Warehouse,N/A,1,2/15/2023,"84 Harbor Dr, JERSEY CITY, HUDSON, NJ '07305'",40.6810511,-74.0887463
Marlboro Community Commerce Park Flex Building,building number 2,142 Amboy Rd,MARLBORO,'07751',MONMOUTH,Planning Schematics,N/A,PO BOX 1537,142 Amboy Road LLC,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202200856572,132000,Warehouse,N/A,1,12/12/2022,"142 Amboy Rd, MARLBORO, MONMOUTH, NJ '07751'",40.3611689,-74.28338699999999
Marlboro Community Commerce Park Self Storage Building,building number 1,142 Amboy Rd,MARLBORO,'07751',MONMOUTH,Planning Schematics,N/A,PO BOX 1537,142 Amboy Road LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202100769733,103520,Warehouse,N/A,1,9/14/2021,"142 Amboy Rd, MARLBORO, MONMOUTH, NJ '07751'",40.3611689,-74.28338699999999
Warehouse & Office Building 2 - Parking Lot,N/A,Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,400 PLAZA DR,Hartz Mountain Industries Inc,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300055772,N/A,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
Warehouse & Office Building 5 - Parking Lot,"Total of 352,800 sq. ft. (warehouse use 335,160 sq. ft. and office use; 17,640 sq. ft.) and 239-space parking lot",Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300055778,352800,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
Warehouse & Office Building 2 - Parking Lot,"Total of 360,000 sq. ft. (warehouse use 342,000 sq. ft. and office use; 18,000 sq. ft.) and 243-space parking lot",Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300055775,360000,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
Warehouse & Office Building 4 - Parking Lot,"Total of 251,550 sq. ft. (warehouse use 238,973 sq. ft. and office use; 12,578 sq. ft.) and 171-space parking lot",Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300055777,251550,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
Warehouse & Office Building 1 - Parking Lot,"Total of 395,960 sq. ft. (warehouse use - 376,162 sq. ft. and office; use 19,798 sq. ft.) and 334-space parking Lot",Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300055774,395960,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
Warehouse & Office Building 3 - Parking Lot,"Total of 1,153,750 sq. ft. (warehouse use 1,096,063 sq. ft. and office; use 57,688 sq. ft.) and 783-space parking Lot",Howard Blvd & US-46,ROXBURY TOWNSHIP,'07852',MORRIS,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134871504,https://apps.construction.com/projects/202300055776,1153750,Office Warehouse Paving,N/A,N/A,2/16/2023,"Howard Blvd & US-46, ROXBURY TOWNSHIP, MORRIS, NJ '07852'",40.8792084,-74.642504
JDA Bordentown Warehouse 1,N/A,2015 US-206,FIELDSBORO,'085052120',BURLINGTON,Planning Schematics,Kenneth Kubitschek,100 DUNBAR ST STE 400,Johnson Development Associates Inc,N/A,Langan Engineering & Environmental Svcs,N/A,Kevin J Webb,49999999,https://apps.construction.com/projects/202200537729,311300,Warehouse,N/A,1,3/15/2022,"2015 US-206, FIELDSBORO, BURLINGTON, NJ '085052120'",40.1186262,-74.7054522
Warehouse Building 1,tilt up concrete,47 Veronica Ave and 74 &102 Bennetts Ln,SOMERSET,'08875',SOMERSET,Planning Schematics,N/A,445 Park Ave Ste 16e,Elion Partners,Stonefield Engineering & Design LLC,Dynamic Engineering Consultants LLC,N/A,Robert Freud,49999999,https://apps.construction.com/projects/202000601412,425250,Warehouse,N/A,1,5/7/2020,"47 Veronica Ave and 74 &102 Bennetts Ln, SOMERSET, SOMERSET, NJ '08875'",40.4805679,-74.50205919999999
Warehouse & Distribution Facility,"Includes a 26,400 square foot office",80 Strykers Rd,LOPATCONG,'08886',WARREN,Planning Schematics,N/A,N/A,N/A,N/A,Dynamic Engineering Consultants PC,John McDonough Associates LLC,Brett Skapinetz,102522099,https://apps.construction.com/projects/202100752290,877019,Warehouse Freight Terminal,N/A,1,8/27/2021,"80 Strykers Rd, LOPATCONG, WARREN, NJ '08886'",40.69369349999999,-75.1485826
Skeba Tract Warehouse B,N/A,437 NJ-33,MANALAPAN TOWNSHIP,'07726',MONMOUTH,Planning Schematics,Dan Skeba,437 NJ-33,Joseph Skeba,N/A,N/A,N/A,N/A,76217743,https://apps.construction.com/projects/201900510987,652000,Warehouse,N/A,1,1/14/2019,"437 NJ-33, MANALAPAN TOWNSHIP, MONMOUTH, NJ '07726'",40.2571859,-74.3924454
Skeba Tract Warehouse A,N/A,437 NJ-33,MANALAPAN TOWNSHIP,'07726',MONMOUTH,Planning Schematics,Dan Skeba,437 NJ-33,Joseph Skeba,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/201900510986,300220,Warehouse,N/A,1,1/14/2019,"437 NJ-33, MANALAPAN TOWNSHIP, MONMOUTH, NJ '07726'",40.2571859,-74.3924454
Warehouse,"142,393 sf warehouse and 6,160 SF office area",37 Burnt Tavern Rd,MILLSTONE,'08510',MONMOUTH,Planning Schematics,N/A,N/A,N/A,N/A,Dynamic Engineering Consultants LLC,N/A,Thomas Muller,24999999,https://apps.construction.com/projects/202300217483,148533,Office Warehouse,N/A,1,6/1/2023,"37 Burnt Tavern Rd, MILLSTONE, MONMOUTH, NJ '08510'",40.163946,-74.42358399999999
Warehouse,"130,000 square feet of warehouse space with 6,000 square feet of office; space",589 NJ-33,MILLSTONE,'085358105',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202200682709,130000,Office Warehouse,N/A,1,7/7/2022,"589 NJ-33, MILLSTONE, MONMOUTH, NJ '085358105'",40.2547963,-74.3745086
Warehouse Distribution Center,"499,992 + square foot warehouse / distribution / office facility. The; proposed warehouse / distribution / office facility will be located on; 57.81 + acres of land located adjacent to Swedesboro Avenue",285 Swedesboro Ave,GIBBSTOWN,'08027',GLOUCESTER,Pre-Design,N/A,100 DUNBAR ST STE 400,Johnson Development Associates Inc,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/201900823334,499992,Warehouse,N/A,1,9/18/2019,"285 Swedesboro Ave, GIBBSTOWN, GLOUCESTER, NJ '08027'",39.8173556,-75.2548221
Warehouse,154700 SF warehouse on West Commodore Boulevard. includes 2000 SF; office space,W Commodore Blvd & Patterson Rd,JACKSON TOWNSHIP,'08527',OCEAN,Planning Schematics,N/A,585 PROSPECT ST STE 301B,BHRS Group/Modani Properties,Birdsall Services Group,"Kimley-Horn And Associates, Inc.",N/A,N/A,24999999,https://apps.construction.com/projects/202200804356,154700,Warehouse,N/A,1,10/25/2022,"W Commodore Blvd & Patterson Rd, JACKSON TOWNSHIP, OCEAN, NJ '08527'",40.1568872,-74.3926075
96 Industrial Ct - Vanderveer Industrial Park Warehouse #5,"87243 SF warehouse and 9694 SF office - 10 loading dock spaces plus; two (2) additional drive in ramps in the rear of the building and 51; total passenger vehicle parking spaces. Stormwater management will be; addressed through the construction of five (5) total aboveground; infiltration basins and a porous asphalt system in the passenger; vehicle parking area and additional improvements consisting of; landscaping, lighting and four (4) trash enclosures on premises",Industrial Ct,HOWELL TOWNSHIP,'07728',MONMOUTH,Planning Schematics,Marc Friedman,1222 PADDOCK PL,ABS Management and Development,N/A,Crest Engineering Associates Inc,N/A,Peter W. Strong,14999999,https://apps.construction.com/projects/202200726402,96937,Office Warehouse,N/A,1,8/17/2022,"Industrial Ct, HOWELL TOWNSHIP, MONMOUTH, NJ '07728'",40.2288192,-74.2330439
Self-Storage Facility,"3-story self-storage facility with accessory office space, consisting; of a total of approximately 100,620 square feet , along with on-site; parking and related site improvements",2650 E Hurley Pond Rd,WALL TOWNSHIP,'07719',MONMOUTH,Pre-Design,N/A,87 W PASSAIC ST,TFJ Wall LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300207962,100620,Warehouse,N/A,1,5/25/2023,"2650 E Hurley Pond Rd, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.170418,-74.068046
Warehouse,N/A,569 Halls Mill Rd,FREEHOLD,'077288812',MONMOUTH,Planning Schematics,Dave C. Surti,120 VALLEY RD STE 200,Camber Real Estate Partners,N/A,East Point Engineering LLC,N/A,Marc Leber PE,24999999,https://apps.construction.com/projects/202300207776,130000,Warehouse,N/A,1,5/25/2023,"569 Halls Mill Rd, FREEHOLD, MONMOUTH, NJ '077288812'",40.2332197,-74.2502458
Chocolate Manufacturing/Office/Warehouse Facility,"demo existing building - parking lot, landscaping, lighting and other; site improvements- Build a 129,726-square-foot warehouse with 6,286; square feet",9 Cotters Ln,EAST BRUNSWICK,'088162002',MIDDLESEX,Design Development,Graham Benes,1099 18TH ST STE 2900,EverWest Real Estate Partners,N/A,Dynamic Engineering Consultants PC,N/A,Stephen Schwartz PE,24999999,https://apps.construction.com/projects/201400637014,129726,Office Warehouse Manufacturing Building,N/A,1,9/10/2014,"9 Cotters Ln, EAST BRUNSWICK, MIDDLESEX, NJ '088162002'",40.4483274,-74.419198
Warehouse and Distribution Center,N/A,105 and 129 Route 40,CARNEYS POINT,'08069',SALEM,Pre-Design,N/A,742 Courses Landing Rd,McLane Company,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202000540180,350000,Warehouse,N/A,1,3/13/2020,"105 and 129 Route 40, CARNEYS POINT, SALEM, NJ '08069'",39.68179500000001,-75.42925199999999
