TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Kingsland Meadowlands Phase 2 Building C,Phase 2 is Bldg C - 210 loading docks - 4 drive in doors - 493 trailer; parking spaces - 704 car spaces,"off Route 3 & 17, in Rutherford",LYNDHURST,'07071',BERGEN,Planning Schematics,N/A,400 HOLLISTER RD,Forsgate Industrial Partners,N/A,N/A,N/A,N/A,138342217,https://apps.construction.com/projects/202300204113,1183440,Office Warehouse Freight Terminal Sidewalk/Parking Lot Site Development,N/A,2,5/23/2023,"off Route 3 & 17, in Rutherford, LYNDHURST, BERGEN, NJ '07071'",40.8231437,-74.0979922
Warehouse Building D,Construct a warehouse consisting of 266890 SF,1062 US-322,WOOLWICH TOWNSHIP,'08085',GLOUCESTER,Planning Schematics,N/A,N/A,N/A,N/A,Consulting Engineer Services,N/A,N/A,49999999,https://apps.construction.com/projects/202100615196,266890,Warehouse,N/A,1,5/11/2021,"1062 US-322, WOOLWICH TOWNSHIP, GLOUCESTER, NJ '08085'",39.754306,-75.272134
Enterprise Drive - Warehouse Building C,Construct a warehouse consisting of 312317 SF,1062 US-322,HARRISON TOWNSHIP,'08062',GLOUCESTER,Design Development,N/A,N/A,N/A,N/A,Consulting Engineer Services,N/A,N/A,49999999,https://apps.construction.com/projects/202100615195,312317,Warehouse,N/A,1,5/11/2021,"1062 US-322, HARRISON TOWNSHIP, GLOUCESTER, NJ '08062'",39.754306,-75.272134
Warehouse Building A,Construct a warehouse consisting of 963316 SF,1062 US-322,HARRISON TOWNSHIP,'08062',GLOUCESTER,Planning Schematics,N/A,N/A,N/A,N/A,N/A,Consulting Engineer Services,N/A,98618013,https://apps.construction.com/projects/202100615187,963316,Warehouse,N/A,1,5/11/2021,"1062 US-322, HARRISON TOWNSHIP, GLOUCESTER, NJ '08062'",39.754306,-75.272134
Warehouse Building B,Construct a warehouse consisting of 639578 SF,1062 US-322,WOOLWICH TOWNSHIP,'08085',GLOUCESTER,Planning Schematics,N/A,N/A,N/A,N/A,N/A,Consulting Engineer Services,N/A,65475827,https://apps.construction.com/projects/202100615194,639578,Warehouse,N/A,1,5/11/2021,"1062 US-322, WOOLWICH TOWNSHIP, GLOUCESTER, NJ '08085'",39.754306,-75.272134
Self-Storage Facility,Construct a 3-story self-storage building,372 US-46,MOUNTAIN LAKES,'070461740',MORRIS,Planning Schematics,N/A,280 STATE ROUTE 35 STE 150,Highview Homes LLC/Highview Commercial LLC,N/A,Dynamic Engineering Consultants LLC,N/A,Matthew Sharo PE,14999999,https://apps.construction.com/projects/202200813078,98268,Warehouse,N/A,1,11/1/2022,"372 US-46, MOUNTAIN LAKES, MORRIS, NJ '070461740'",40.8852809,-74.4636908
400 Atrium Drive Warehouse A,Construct a warehouse consisting of 255111 SF,400 Atrium Dr,FRANKLIN TOWNSHIP,'088734162',SOMERSET,Planning Schematics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300165738,255111,Warehouse,N/A,1,5/2/2023,"400 Atrium Dr, FRANKLIN TOWNSHIP, SOMERSET, NJ '088734162'",40.5341951,-74.51855429999999
Retail and Self-Storage Space,N/A,1069 NJ-18,EAST BRUNSWICK,'088164351',MIDDLESEX,Planning Schematics,Keissler Wong,1069 STATE ROUTE 18,Rock Solid Realty,N/A,Dynamic Engineering Consultants LLC,N/A,N/A,14999999,https://apps.construction.com/projects/202200528049,86660,Retail (Other) Warehouse,N/A,1,3/8/2022,"1069 NJ-18, EAST BRUNSWICK, MIDDLESEX, NJ '088164351'",40.4188281,-74.37526410000001
Warehouse,Gaitway Farm Redevelopment - Phase 1,Woodward Rd,MANALAPAN TOWNSHIP,'07726',MONMOUTH,Pre-Design,N/A,5 TENAFLY RD STE 416,Active Acquisitions,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300315202,N/A,Warehouse,N/A,1,8/17/2023,"Woodward Rd, MANALAPAN TOWNSHIP, MONMOUTH, NJ '07726'",40.2620416,-74.3617397
Warehouse,Construct a warehouse consisting of 81685 SF and an office -2 story of; 5225 SF,Atrium Dr,FRANKLIN TOWNSHIP,'08873',SOMERSET,Planning Schematics,N/A,3614 KENNEDY RD,Puleo International Inc,N/A,Stires Associates,N/A,N/A,14999999,https://apps.construction.com/projects/202300032549,86910,Office Warehouse,N/A,1,2/5/2023,"Atrium Dr, FRANKLIN TOWNSHIP, SOMERSET, NJ '08873'",40.533765,-74.5208199
